date,code,usdprice
2005-05-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.27
2005-06-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.26
2005-07-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.26
2005-08-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.25
2005-09-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.26
2005-10-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.26
2005-11-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.25
2005-12-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.27
2006-01-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.28
2006-02-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.28
2006-03-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.28
2006-04-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.3
2006-05-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.3
2006-06-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.31
2006-07-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.3
2006-08-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.3
2006-09-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.32
2006-10-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.34
2006-11-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.35
2006-12-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.36
2007-01-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.37
2007-02-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.36
2007-03-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.28
2007-04-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.34
2007-05-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.34
2007-06-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.35
